Stimulus ID, ImageArea,TextGroup,NonTextArea,TextArea,QuadTree,Saturation,Colorfulness2,Colorfulness1,Complexity,Phase 2 Response,Phase 1 Response,Final Score,,,Phase 2 Response,Phase 1 Response,,,,,,,
0,0,0,1002822,0,8026,150.7687805,22.89196915,107.6238156,6.978466527,6.228813559,6.228813559,6.228813559,,Phase 2 Response,1,,,,,,,,
1,4,1,1109683,11760,13888,53.35454179,31.46048311,67.0791525,7.289614843,5.875,5.817307692,5.846153846,,Phase 1 Response,0.982934437,1,,,,,,,
2,31,15,871855,75622,23476,40.59015838,17.75377361,63.31601884,9.836733836,4.661290323,4.911290323,4.786290323,,,,,,,,,,,
3,6,13,118820,26930,1528,57.98323948,23.7153768,68.13090496,3.69283253,6.545454545,6.834710744,6.690082645,,,,,,,,,,,
4,13,28,46485,186291,4,5.97233375,4.430877922,28.61836013,6.474831821,4.132743363,4.185840708,4.159292035,,, ImageArea,TextGroup,NonTextArea,TextArea,QuadTree,Saturation,Colorfulness2,Colorfulness1,Complexity
5,38,7,376735,84210,5062,28.70715518,13.17244075,17.69729071,7.679398193,4.907407407,5.222222222,5.064814815,,,,,,,,,,,
6,10,4,879849,13264,967,12.34048234,3.594220406,20.02157874,6.209021248,3.912698413,4.134920635,4.023809524,,Mean,11.3969432,12.8644387,674883.0143,103475.1932,5744.351436,55.1468258,17.27865864,57.67559359,7.975251732
7,78,6,1785004,81960,22135,14.27613267,8.205001027,25.92707133,16.51072861,4.616,4.816,4.716,,Standard Error,0.805841093,0.693991243,32920.1313,6336.322676,395.6623899,2.522862902,1.122623884,1.527036445,0.204715207
8,1,4,735900,19452,868,48.92306746,17.79274731,86.8523393,5.770304823,5.692307692,5.897435897,5.794871795,,Median,7,9,519001,68708.5,2915.5,40.93402054,12.70265417,53.48369503,7.06378099
9,1,2,747270,4220,1729,13.32012928,5.550817027,26.74108988,4.777300571,4.612068966,4.931034483,4.771551724,,Mode,1,0,1002822,0,16,#N/A,#N/A,#N/A,#N/A
10,7,22,796888,75502,487,34.50900363,8.450100916,73.18396997,8.215947305,6.327272727,6.227272727,6.277272727,,Standard Deviation,14.54983975,12.53033812,594388.4459,114405.2845,7143.870445,45.55147565,20.26950195,27.57136086,3.696229298
11,1,0,1918400,0,24721,111.4122538,19.03493105,129.6694657,11.52792725,3.973451327,3.946902655,3.960176991,,Sample Variance,211.6978368,157.0093735,3.53E+11,13088569129,51034884.94,2074.936934,410.8527094,760.1799395,13.66211102
12,24,10,360457,118773,4762,37.0371125,4.716718042,40.20218285,7.085457729,4.265151515,4.522727273,4.393939394,,Kurtosis,25.85306645,2.869066319,2.217363812,3.902656813,3.100578228,2.334679259,34.92122171,1.511547379,3.216368184
13,8,7,567766,138525,1459,2.452322479,6.807532665,13.39550331,27.98601064,4.592592593,4.611111111,4.601851852,,Skewness,3.74925136,1.463890238,1.500357574,1.790531581,1.776212636,1.60571826,4.965235378,0.997052499,1.362315751
14,8,16,201717,62835,2722,32.69568206,2.535514536,50.67145319,4.982058627,5.9375,6.171875,6.0546875,,Range,149,74,3119083,698769,38355,235.1782681,204.9578968,174.8860985,25.59407031
15,4,9,28586,54158,4,22.27699929,14.07440782,48.18611469,3.105094371,3.870967742,4.290322581,4.080645161,,Minimum,0,0,21,0,4,0,0,0,2.391940336
16,11,24,54532,112796,5491,177.6435828,8.938930315,87.41978269,6.442547879,2.675438596,2.929824561,2.802631579,,Maximum,149,74,3119104,698769,38359,235.1782681,204.9578968,174.8860985,27.98601064
