model_file,model_name,feature_group,feature,coefficient,abs_coefficient,direction
ridge_combined.pkl,Ridge(alpha=1),ALL_FEATURES,Colorfulness2,-0.15697473378542132,0.15697473378542132,negative
ridge_combined.pkl,Ridge(alpha=1),ALL_FEATURES,TextGroup,0.1484427257396272,0.1484427257396272,positive
ridge_image.pkl,Ridge(alpha=1),IMAGE_FEATURES,Colorfulness2,-0.14325735167620463,0.14325735167620463,negative
ridge_combined.pkl,Ridge(alpha=1),ALL_FEATURES,ImageArea,-0.14073062295611544,0.14073062295611544,negative
ridge_infographic.pkl,Ridge(alpha=1),INFOGRAPHIC_FEATURES,TextGroup,0.13678338727490735,0.13678338727490735,positive
ridge_infographic.pkl,Ridge(alpha=1),INFOGRAPHIC_FEATURES,ImageArea,-0.12917093470781393,0.12917093470781393,negative
ridge_combined.pkl,Ridge(alpha=1),ALL_FEATURES,NonTextArea,0.1079603476489358,0.1079603476489358,positive
ridge_combined.pkl,Ridge(alpha=1),ALL_FEATURES,TextArea,-0.10796034764893354,0.10796034764893354,negative
ridge_infographic.pkl,Ridge(alpha=1),INFOGRAPHIC_FEATURES,TextArea,-0.1025449169143892,0.1025449169143892,negative
ridge_infographic.pkl,Ridge(alpha=1),INFOGRAPHIC_FEATURES,NonTextArea,0.1025449169143877,0.1025449169143877,positive
ridge_combined.pkl,Ridge(alpha=1),ALL_FEATURES,Saturation,0.09952776475971009,0.09952776475971009,positive
ridge_image.pkl,Ridge(alpha=1),IMAGE_FEATURES,Saturation,0.07627812306588298,0.07627812306588298,positive
ridge_image.pkl,Ridge(alpha=1),IMAGE_FEATURES,QuadTree,0.05591049382647307,0.05591049382647307,positive
ridge_combined.pkl,Ridge(alpha=1),ALL_FEATURES,Complexity,-0.05582551382163492,0.05582551382163492,negative
ridge_combined.pkl,Ridge(alpha=1),ALL_FEATURES,Colorfulness1,-0.04934044696963458,0.04934044696963458,negative
ridge_infographic.pkl,Ridge(alpha=1),INFOGRAPHIC_FEATURES,Complexity,-0.04422383343931247,0.04422383343931247,negative
ridge_combined.pkl,Ridge(alpha=1),ALL_FEATURES,QuadTree,0.03284118238575875,0.03284118238575875,positive
ridge_image.pkl,Ridge(alpha=1),IMAGE_FEATURES,Colorfulness1,-0.0038809747834737352,0.0038809747834737352,negative
